,Flight Name,Departure time,Arrival time,Source,Destination,No of Stop,Duration,Date of Journey,Price
4609,Vistara,12:30,12:05+1D,Chennai,Guwahati,2 Stops,23h 35m,10 Feb 22,15848
6770,Air India,03:45,20:30,Jaipur,Goa In,2 Stops,16h 45m,10 Feb 22,8182
6381,IndiGo,19:35,20:50,Hyderabad,Goa In,Non Stop,1h 15m,10 Feb 22,4451
1613,Air India,06:10,12:55,Bengaluru,Jaipur,1 Stop,6h 45m,10 Feb 22,4744
3608,Go First,07:20,12:30,Delhi,Kolkata,1 Stop,5h 10m,10 Feb 22,4037
2829,Vistara,09:40,16:30,Bhubaneswar,Mumbai,1 Stop,6h 50m,10 Feb 22,10207
6654,Air India,19:35,17:55+1D,Jaipur,Bengaluru,3 Stops,46h 20m,10 Feb 22,7115
2770,Air India,21:35,20:00+1D,Bhubaneswar,Mumbai,1 Stop,22h 25m,10 Feb 22,4861
363,SpiceJet,21:40,"19:00
+ 1 day",Hyderabad,Dehradun,1 Stop,21h 20m,"Sat, 26 Feb","3,587"
9250,Air India,09:50,16:15+1D,Mumbai,Bengaluru,2 Stops,30h 25m,10 Feb 22,8618
0,IndiGo,07:15,09:25,New Delhi,Mumbai,Non Stop,2h 10m,"Mon, 21 Feb","2,410"
7323,Air India,19:00,19:55+1D,Kolkata,Ahmedabad,2 Stops,24h 55m,10 Feb 22,6414
531,IndiGo,22:20,"08:55
+ 1 day",Pune,Lucknow,1 Stop,10h 35m,"Sat, 5 Feb","3,132"
7832,Air India,13:00,23:35+1D,Kolkata,Hyderabad,4 Stops,34h 35m,10 Feb 22,7174
8078,Air India,05:55,22:10,Kolkata,Mumbai,2 Stops,16h 15m,10 Feb 22,13394
6497,Vistara,08:30,14:05+1D,Hyderabad,Goa In,2 Stops,29h 35m,10 Feb 22,11863
3784,IndiGo,07:25,16:05,Delhi,Mumbai,1 Stop,8h 40m,10 Feb 22,3953
5679,Vistara,16:05,19:10,Guwahati,Bengaluru,Non Stop,3h 05m,10 Feb 22,9037
3052,Vistara,10:20,20:55,Delhi,Bengaluru,1 Stop,10h 35m,10 Feb 22,10678
770,Go First,22:05,12:20+1D,Ahmedabad,Patna,1 Stop,14h 15m,10 Feb 22,3588
3668,IndiGo,12:35,17:50,Delhi,Kolkata,1 Stop,5h 15m,10 Feb 22,5953
8038,Vistara,10:15,22:00,Kolkata,Mumbai,1 Stop,11h 45m,10 Feb 22,10423
4530,Air India,09:55,07:20+1D,Chennai,Guwahati,2 Stops,21h 25m,10 Feb 22,5668
7929,IndiGo,23:20,05:50+1D,Kolkata,Mumbai,1 Stop,6h 30m,10 Feb 22,4156
2688,Vistara,13:00,08:50+1D,Bhubaneswar,Bengaluru,2 Stops,19h 50m,10 Feb 22,14092
7870,Go First,05:45,08:35,Kolkata,Jaipur,Non Stop,2h 50m,10 Feb 22,4005
39,IndiGo,09:40,20:45,New Delhi,Bangalore,1 Stop,11h 05m,"Sat, 26 Feb","3,127"
515,Go First,06:05,08:40,Ahmedabad,Kolkata,Non Stop,2h 35m,10 Feb 22,5899
9316,Vistara,07:30,23:20,Mumbai,Bengaluru,1 Stop,15h 50m,10 Feb 22,11305
2384,Air India,07:35,18:10+1D,Bengaluru,Pune,2 Stops,34h 35m,10 Feb 22,5530
196,AirAsia,07:40,10:05,Kolkata,Delhi,Non-Stop,02h 25m,29 Jan,3437
336,IndiGo,20:35,22:40,Hyderabad,Kolkata,Non Stop,2h 05m,"Sun, 10 Apr","2,395"
350,Go First,07:10,16:30,Ahmedabad,Goa In,1 Stop,9h 20m,10 Feb 22,3951
1739,Go First,05:50,21:00,Bengaluru,Jaipur,1 Stop,15h 10m,10 Feb 22,7485
9056,Air India,16:00,18:15+1D,Mumbai,Ahmedabad,4 Stops,26h 15m,10 Feb 22,7785
8468,Vistara,10:05,16:00+1D,Lucknow,Bengaluru,2 Stops,29h 55m,10 Feb 22,13769
3628,Go First,15:30,23:35,Delhi,Kolkata,1 Stop,8h 05m,10 Feb 22,4728
9956,Air India,10:00,20:50+1D,Mumbai,Hyderabad,2 Stops,34h 50m,10 Feb 22,6989
7941,IndiGo,13:55,23:25,Kolkata,Mumbai,1 Stop,9h 30m,10 Feb 22,4807
1519,Air India,17:50,10:30+1D,Bengaluru,Hyderabad,1 Stop,16h 40m,10 Feb 22,4941
9586,Vistara,08:45,20:15,Mumbai,Chennai,1 Stop,11h 30m,10 Feb 22,11841
2338,IndiGo,05:15,06:45,Bengaluru,Pune,Non Stop,1h 30m,10 Feb 22,1713
5009,IndiGo,06:10,13:50,Chennai,Patna,1 Stop,7h 40m,10 Feb 22,4965
6565,Go First,21:30,23:59,Jaipur,Bengaluru,Non Stop,2h 29m,10 Feb 22,4896
1282,Air India,06:10,06:25+1D,Bengaluru,Goa In,3 Stops,24h 15m,10 Feb 22,6831
2235,Air India,06:45,18:25+1D,Bengaluru,Patna,2 Stops,35h 40m,10 Feb 22,6092
9349,Air India,07:05,20:55,Mumbai,Bhubaneswar,2 Stops,13h 50m,10 Feb 22,4531
6385,AirAsia I.,19:45,07:00+1D,Hyderabad,Goa In,1 Stop,11h 15m,10 Feb 22,3808
545,Go First,08:20,22:20,Ahmedabad,Kolkata,1 Stop,14h 00m,10 Feb 22,5898
9710,Vistara,06:30,13:50,Mumbai,Goa In,1 Stop,7h 20m,10 Feb 22,13081
2056,Air India,17:50,09:05+1D,Bengaluru,Mumbai,1 Stop,15h 15m,10 Feb 22,5319
4141,Air India,06:05,07:50+1D,Chennai,Ahmedabad,1 Stop,25h 45m,10 Feb 22,6994
90,SpiceJet,10:15,12:35,New Delhi,Guwahati,Non Stop,2h 20m,"Tue, 8 Feb","2,898"
926,Air India,17:50,19:55+1D,Bengaluru,Ahmedabad,2 Stops,26h 05m,10 Feb 22,6831
8819,Air India,08:55,17:50+1D,Lucknow,Mumbai,2 Stops,32h 55m,10 Feb 22,7476
5805,IndiGo,16:05,19:40,Guwahati,Mumbai,Non Stop,3h 35m,10 Feb 22,5587
5354,Go First,17:40,10:10+1D,Goa In,Mumbai,1 Stop,16h 30m,10 Feb 22,6101
1345,Air India,10:25,12:10+1D,Bengaluru,Guwahati,1 Stop,25h 45m,10 Feb 22,5700
9200,Air India,18:00,12:30+1D,Mumbai,Bengaluru,1 Stop,18h 30m,10 Feb 22,5243
5392,Air India,23:00,21:10+1D,Goa In,Pune,2 Stops,22h 10m,10 Feb 22,6046
6445,Air India,11:20,06:25+1D,Hyderabad,Goa In,2 Stops,19h 05m,10 Feb 22,7028
5291,Vistara,14:40,07:50+1D,Goa In,Hyderabad,2 Stops,17h 10m,10 Feb 22,11834
362,SpiceJet,21:40,"16:00
+ 1 day",Hyderabad,Dehradun,1 Stop,18h 20m,"Sun, 6 Mar","3,587"
2909,AirAsia I.,12:20,20:55,Delhi,Bengaluru,2 Stops,8h 35m,10 Feb 22,3779
8718,Go First,06:10,12:50,Lucknow,Mumbai,1 Stop,6h 40m,10 Feb 22,3734
9063,Air India,15:35,18:15+1D,Mumbai,Ahmedabad,4 Stops,26h 40m,10 Feb 22,7785
2911,AirAsia I.,12:50,00:25+1D,Delhi,Bengaluru,1 Stop,11h 35m,10 Feb 22,3779
5180,Air India,07:05,12:50+1D,Goa In,Bengaluru,2 Stops,29h 45m,10 Feb 22,10371
8091,Go First,06:00,12:20,Kolkata,Patna,1 Stop,6h 20m,10 Feb 22,4680
9147,IndiGo,10:45,19:35,Mumbai,Bengaluru,1 Stop,8h 50m,10 Feb 22,3261
2622,Air India,21:35,12:30+1D,Bhubaneswar,Bengaluru,1 Stop,14h 55m,10 Feb 22,5555
1328,IndiGo,07:50,17:50,Bengaluru,Guwahati,1 Stop,10h 00m,10 Feb 22,4630
2878,IndiGo,06:45,13:20,Delhi,Bengaluru,1 Stop,6h 35m,10 Feb 22,2861
726,Air India,18:45,17:50+1D,Ahmedabad,Mumbai,2 Stops,23h 05m,10 Feb 22,10597
9617,Go First,09:55,23:10,Mumbai,Goa In,1 Stop,13h 15m,10 Feb 22,4260
2774,IndiGo,06:20,11:35,Bhubaneswar,Mumbai,1 Stop,5h 15m,10 Feb 22,4975
5078,Vistara,07:00,10:05+1D,Chennai,Patna,2 Stops,27h 05m,10 Feb 22,14668
5582,Vistara,18:05,20:25+1D,Guwahati,Bengaluru,1 Stop,26h 20m,10 Feb 22,12159
8971,Go First,23:45,07:30+1D,Mumbai,Ahmedabad,1 Stop,7h 45m,10 Feb 22,3792
8750,Air India,20:15,23:55+1D,Lucknow,Mumbai,2 Stops,27h 40m,10 Feb 22,5380
9332,Air India,12:00,14:25,Mumbai,Bhubaneswar,Non Stop,2h 25m,10 Feb 22,2943
4562,Vistara,06:55,17:30,Chennai,Guwahati,1 Stop,10h 35m,10 Feb 22,11908
3096,IndiGo,06:10,15:55,Delhi,Chennai,1 Stop,9h 45m,10 Feb 22,3516
234,FlyDubai,11:50,14:15,Delhi,Dubai,Non-Stop,03h 55m,15 Jan,31171
2576,Vistara,09:30,11:55+1D,Bengaluru,Srinagar,2 Stops,26h 25m,10 Feb 22,14627
5307,Vistara,21:55,22:55+1D,Goa In,Hyderabad,2 Stops,25h 00m,10 Feb 22,13976
863,Air India,19:20,12:05+1D,Ahmedabad,Pune,2 Stops,16h 45m,10 Feb 22,7539
3946,SpiceJet,17:15,19:00,Delhi,Patna,Non Stop,1h 45m,10 Feb 22,2188
2276,Vistara,17:50,10:05+1D,Bengaluru,Patna,1 Stop,16h 15m,10 Feb 22,10489
3175,Air India,19:00,08:00+1D,Delhi,Chennai,2 Stops,37h 00m,10 Feb 22,7934
4467,Vistara,12:30,14:05+1D,Chennai,Goa In,2 Stops,25h 35m,10 Feb 22,13041
4022,IndiGo,13:25,15:40,Delhi,Pune,Non Stop,2h 15m,10 Feb 22,2244
762,Vistara,08:25,20:45,Ahmedabad,Mumbai,2 Stops,12h 20m,10 Feb 22,15097
1077,Air India,06:10,13:05,Bengaluru,Bhubaneswar,1 Stop,6h 55m,10 Feb 22,5301
3800,Air India,11:55,15:50,Delhi,Mumbai,1 Stop,3h 55m,10 Feb 22,4809
1452,Vistara,18:25,17:30+1D,Bengaluru,Guwahati,2 Stops,23h 05m,10 Feb 22,15184
3138,Air India,20:10,07:20+1D,Delhi,Chennai,2 Stops,35h 10m,10 Feb 22,5187
9505,Air India,21:30,12:40+1D,Mumbai,Chennai,1 Stop,15h 10m,10 Feb 22,4415
3854,Vistara,12:50,15:00,Delhi,Mumbai,Non Stop,2h 10m,10 Feb 22,5953
3970,Go First,18:40,11:55+1D,Delhi,Patna,1 Stop,17h 15m,10 Feb 22,5112
6556,Air India,13:30,18:15+1D,Jaipur,Ahmedabad,3 Stops,28h 45m,10 Feb 22,7533
8335,Air India,08:55,22:15+1D,Lucknow,Bengaluru,2 Stops,37h 20m,10 Feb 22,5275
4170,Air India,06:20,07:50+1D,Chennai,Ahmedabad,2 Stops,25h 30m,10 Feb 22,8639
8797,Air India,20:15,17:50+1D,Lucknow,Mumbai,3 Stops,21h 35m,10 Feb 22,6488
4215,Vistara,07:00,22:35,Chennai,Ahmedabad,2 Stops,15h 35m,10 Feb 22,16171
8060,Vistara,20:25,07:55+1D,Kolkata,Mumbai,1 Stop,11h 30m,10 Feb 22,10423
7444,Air India,13:00,22:30+1D,Kolkata,Bengaluru,3 Stops,33h 30m,10 Feb 22,6729
1854,Air India,13:20,09:00+1D,Bengaluru,Kolkata,1 Stop,19h 40m,10 Feb 22,5324
4853,Vistara,07:00,16:55,Chennai,Kolkata,1 Stop,9h 55m,10 Feb 22,11067
342,SpiceJet,09:50,11:10,Hyderabad,Tirupati,Non Stop,1h 20m,"Mon, 14 Feb","2,078"
2963,Air India,10:55,22:30,Delhi,Bengaluru,1 Stop,11h 35m,10 Feb 22,5848
7945,Air India,11:35,17:25,Kolkata,Mumbai,2 Stops,5h 50m,10 Feb 22,4844
6850,Air India,13:30,20:15+1D,Jaipur,Hyderabad,2 Stops,30h 45m,10 Feb 22,6199
5397,Air India,07:05,06:35+1D,Goa In,Pune,2 Stops,23h 30m,10 Feb 22,6046
5493,IndiGo,18:00,21:30,Guwahati,Bengaluru,Non Stop,3h 30m,10 Feb 22,9037
3583,Air India,13:15,13:15+1D,Delhi,Jaipur,3 Stops,48h 00m,10 Feb 22,8778
5782,Air India,15:45,09:00+1D,Guwahati,Kolkata,1 Stop,17h 15m,10 Feb 22,5329
294,IndiGo,09:20,15:00,Bangalore,Vijayawada,1 Stop,5h 40m,"Sat, 12 Mar","7,278"
1941,Vistara,21:10,09:35+1D,Bengaluru,Kolkata,1 Stop,12h 25m,10 Feb 22,11203
6503,Vistara,07:40,12:45+1D,Hyderabad,Goa In,2 Stops,29h 05m,10 Feb 22,15319
1874,Air India,19:00,08:05+1D,Bengaluru,Kolkata,3 Stops,37h 05m,10 Feb 22,5744
1108,Air India,13:20,14:25+1D,Bengaluru,Bhubaneswar,2 Stops,25h 05m,10 Feb 22,7886
4065,IndiGo,18:50,23:55,Delhi,Pune,1 Stop,5h 05m,10 Feb 22,5953
4331,Vistara,12:30,20:55,Chennai,Bengaluru,1 Stop,8h 25m,10 Feb 22,9103
4205,Vistara,20:30,20:05+1D,Chennai,Ahmedabad,2 Stops,23h 35m,10 Feb 22,16171
3851,Vistara,17:45,20:05,Delhi,Mumbai,Non Stop,2h 20m,10 Feb 22,5953
5722,Air India,18:10,10:55+1D,Guwahati,Chennai,2 Stops,40h 45m,10 Feb 22,6367
3575,Air India,06:10,09:20+1D,Delhi,Jaipur,1 Stop,27h 10m,10 Feb 22,6009
4371,IndiGo,13:10,18:00,Chennai,Goa In,1 Stop,4h 50m,10 Feb 22,3398
3500,Vistara,19:00,07:50+1D,Delhi,Hyderabad,1 Stop,12h 50m,10 Feb 22,9838
1824,AirAsia I.,16:15,02:15+1D,Bengaluru,Kolkata,1 Stop,10h 00m,10 Feb 22,4143
7094,Air India,19:35,13:45+1D,Jaipur,Mumbai,2 Stops,18h 10m,10 Feb 22,8282
7363,IndiGo,11:25,23:50,Kolkata,Ahmedabad,1 Stop,12h 25m,10 Feb 22,8010
6764,Air India,13:30,14:45+1D,Jaipur,Goa In,2 Stops,25h 15m,10 Feb 22,7699
9535,Air India,18:35,12:40+1D,Mumbai,Chennai,2 Stops,18h 05m,10 Feb 22,6151
27,SpiceJet,10:15,12:30,Mumbai,Delhi,Non-Stop,02h 15m,29 Jan,2219
7899,Air India,13:00,07:10+1D,Kolkata,Jaipur,3 Stops,18h 10m,10 Feb 22,6715
1027,Vistara,09:30,07:50+1D,Bengaluru,Ahmedabad,2 Stops,22h 20m,10 Feb 22,15467
593,Vistara,20:40,19:35+1D,Ahmedabad,Kolkata,1 Stop,22h 55m,10 Feb 22,9122
256,Air India,22:20,22:25+1D,Ahmedabad,Goa In,3 Stops,24h 05m,10 Feb 22,6023
2409,Air India,13:20,11:30+1D,Bengaluru,Pune,3 Stops,22h 10m,10 Feb 22,8472
7204,Vistara,09:30,20:25,Kochi,Bengaluru,1 Stop,10h 55m,10 Feb 22,13745
5836,Air India,15:45,18:00+1D,Guwahati,Mumbai,2 Stops,26h 15m,10 Feb 22,5324
3443,Air India,07:00,21:05+1D,Delhi,Hyderabad,3 Stops,38h 05m,10 Feb 22,5929
6136,Vistara,21:35,07:50+1D,Hyderabad,Ahmedabad,2 Stops,34h 15m,10 Feb 22,15476
7483,Vistara,20:35,07:50+1D,Kolkata,Bengaluru,1 Stop,11h 15m,10 Feb 22,10959
5962,IndiGo,15:00,20:25,Hyderabad,Ahmedabad,1 Stop,5h 25m,10 Feb 22,4184
3018,Vistara,10:20,19:15,Delhi,Bengaluru,1 Stop,8h 55m,10 Feb 22,10678
7670,IndiGo,13:55,20:50,Kolkata,Goa In,1 Stop,6h 55m,10 Feb 22,6907
8349,Air India,17:05,22:15+1D,Lucknow,Bengaluru,3 Stops,29h 10m,10 Feb 22,5495
6103,Vistara,12:55,07:50+1D,Hyderabad,Ahmedabad,2 Stops,18h 55m,10 Feb 22,14741
4720,SpiceJet,21:50,21:45+1D,Chennai,Jaipur,1 Stop,23h 55m,10 Feb 22,2973
723,Air India,18:45,13:25+1D,Ahmedabad,Mumbai,2 Stops,18h 40m,10 Feb 22,9901
9732,SpiceJet,06:15,08:10+1D,Mumbai,Guwahati,1 Stop,25h 55m,10 Feb 22,3723
419,IndiGo,09:05,19:15,Kolkata,Mumbai,1 Stop,10h 10m,"Sun, 6 Mar","3,361"
9029,Air India,09:30,21:30+1D,Mumbai,Ahmedabad,2 Stops,36h 00m,10 Feb 22,6684
2856,Vistara,13:00,23:00,Bhubaneswar,Mumbai,2 Stops,10h 00m,10 Feb 22,14092
2636,Air India,15:00,22:15+1D,Bhubaneswar,Bengaluru,2 Stops,31h 15m,10 Feb 22,6213
5588,Vistara,12:40,19:30+1D,Guwahati,Bengaluru,2 Stops,30h 50m,10 Feb 22,14669
7696,Vistara,18:45,21:20+1D,Kolkata,Goa In,1 Stop,26h 35m,10 Feb 22,11851
1696,Air India,07:35,07:10+1D,Bengaluru,Jaipur,2 Stops,23h 35m,10 Feb 22,4922
96,Vistara,22:30,23:45,Mumbai,Goa,Non-Stop,01h 15m,29 Jan,2021
8614,Air India,20:15,13:55+1D,Lucknow,Kolkata,2 Stops,41h 40m,10 Feb 22,5934
176,Air India,21:00,08:00+1D,Ahmedabad,Chennai,2 Stops,35h 00m,10 Feb 22,7545
414,IndiGo,06:10,14:55,Kolkata,Mumbai,1 Stop,8h 45m,"Tue, 8 Feb","3,361"
7011,Air India,19:35,23:55+1D,Jaipur,Mumbai,2 Stops,28h 20m,10 Feb 22,5389
699,Air India,22:20,16:35+1D,Ahmedabad,Mumbai,2 Stops,18h 15m,10 Feb 22,7559
5968,Go First,11:15,18:40,Hyderabad,Ahmedabad,1 Stop,7h 25m,10 Feb 22,4968
9725,Vistara,08:45,21:20,Mumbai,Goa In,1 Stop,12h 35m,10 Feb 22,13396
8449,Vistara,15:25,07:50+1D,Lucknow,Bengaluru,2 Stops,16h 25m,10 Feb 22,13225
6321,Air India,16:15,10:55+1D,Hyderabad,Chennai,2 Stops,18h 40m,10 Feb 22,5873
4322,Vistara,07:00,22:50,Chennai,Bengaluru,1 Stop,15h 50m,10 Feb 22,9103
5529,Air India,15:45,12:30+1D,Guwahati,Bengaluru,1 Stop,20h 45m,10 Feb 22,5985
8188,Air India,14:40,18:10+1D,Kolkata,Pune,2 Stops,27h 30m,10 Feb 22,6775
3398,Air India,11:55,21:35,Delhi,Hyderabad,2 Stops,9h 40m,10 Feb 22,5284
9355,Air India,19:00,20:55+1D,Mumbai,Bhubaneswar,1 Stop,25h 55m,10 Feb 22,4531
7692,Vistara,07:10,13:50,Kolkata,Goa In,1 Stop,6h 40m,10 Feb 22,11851
8980,Air India,10:00,18:40,Mumbai,Ahmedabad,1 Stop,8h 40m,10 Feb 22,4237
8351,Air India,20:15,18:30+1D,Lucknow,Bengaluru,2 Stops,22h 15m,10 Feb 22,5779
4443,Air India,08:30,00:35+1D,Chennai,Goa In,2 Stops,16h 05m,10 Feb 22,9794
127,Indigo,16:05,17:45,Delhi,Patna,Non-Stop,01h 40m,30 Jan,2024
450,Air India,18:55,21:20,Kolkata,Chennai,Non Stop,2h 25m,"Mon, 14 Feb","2,966"
7427,Go First,17:30,07:40+1D,Kolkata,Bengaluru,1 Stop,14h 10m,10 Feb 22,6116
4234,Vistara,20:30,07:50+1D,Chennai,Ahmedabad,2 Stops,35h 20m,10 Feb 22,16171
8447,Vistara,10:05,22:50,Lucknow,Bengaluru,2 Stops,12h 45m,10 Feb 22,13225
8244,IndiGo,17:35,23:50,Lucknow,Ahmedabad,1 Stop,6h 15m,10 Feb 22,3589
4076,Air India,17:50,12:05+1D,Delhi,Pune,3 Stops,18h 15m,10 Feb 22,6791
150,IndiGo,10:05,15:25,Mumbai,Dehradun,1 Stop,5h 20m,"Thu, 10 Feb","3,700"
7160,Go First,15:00,00:35+1D,Kochi,Bengaluru,1 Stop,9h 35m,10 Feb 22,3712
977,Vistara,07:55,22:35,Bengaluru,Ahmedabad,2 Stops,14h 40m,10 Feb 22,13124
3218,Vistara,07:30,19:55,Delhi,Chennai,2 Stops,12h 25m,10 Feb 22,14026
213,Indigo,09:30,11:20,Mumbai,Bangalore,Non-Stop,01h 50m,29 Jan,2125
4613,Vistara,12:30,17:30+1D,Chennai,Guwahati,2 Stops,29h 00m,10 Feb 22,15848
436,IndiGo,05:40,07:00,Kolkata,Guwahati,Non Stop,1h 20m,"Wed, 9 Feb","2,294"
9608,Air India,13:25,14:45,Mumbai,Goa In,Non Stop,1h 20m,10 Feb 22,1888
8910,Go First,06:10,20:20,Lucknow,Pune,1 Stop,14h 10m,10 Feb 22,3572
4982,Air India,05:55,20:00,Chennai,Mumbai,2 Stops,14h 05m,10 Feb 22,12630
3920,Vistara,09:05,08:15+1D,Delhi,Mumbai,1 Stop,23h 10m,10 Feb 22,12148
6097,Vistara,08:30,07:50+1D,Hyderabad,Ahmedabad,2 Stops,23h 20m,10 Feb 22,14741
5506,AirAsia I.,12:40,23:25,Guwahati,Bengaluru,1 Stop,10h 45m,10 Feb 22,4397
1929,Vistara,09:30,16:55,Bengaluru,Kolkata,1 Stop,7h 25m,10 Feb 22,10489
6386,AirAsia I.,22:10,07:00+1D,Hyderabad,Goa In,1 Stop,8h 50m,10 Feb 22,3810
6011,Air India,22:15,21:30+1D,Hyderabad,Ahmedabad,3 Stops,23h 15m,10 Feb 22,6159
6434,Air India,16:15,06:25+1D,Hyderabad,Goa In,2 Stops,14h 10m,10 Feb 22,6608
2699,Vistara,09:40,19:15,Bhubaneswar,Bengaluru,2 Stops,9h 35m,10 Feb 22,14932
1973,IndiGo,19:35,21:35,Bengaluru,Mumbai,Non Stop,2h 00m,10 Feb 22,2199
9171,Go First,11:30,15:10,Mumbai,Bengaluru,1 Stop,3h 40m,10 Feb 22,5100
1499,Air India,19:00,21:05+1D,Bengaluru,Hyderabad,2 Stops,26h 05m,10 Feb 22,4232
1547,Vistara,08:30,20:55,Bengaluru,Hyderabad,1 Stop,12h 25m,10 Feb 22,7811
7794,Air India,19:00,21:15,Kolkata,Hyderabad,Non Stop,2h 15m,10 Feb 22,2434
8530,Air India,20:15,17:00+1D,Lucknow,Goa In,3 Stops,20h 45m,10 Feb 22,7165
5734,Air India,16:30,19:00+1D,Guwahati,Chennai,2 Stops,26h 30m,10 Feb 22,6739
2954,Air India,14:10,17:55+1D,Delhi,Bengaluru,2 Stops,27h 45m,10 Feb 22,5554
3581,Air India,18:30,13:15+1D,Delhi,Jaipur,2 Stops,42h 45m,10 Feb 22,8137
186,Air India,08:20,08:55+1D,Ahmedabad,Chennai,4 Stops,24h 35m,10 Feb 22,7610
2033,Air India,10:25,21:15,Bengaluru,Mumbai,1 Stop,10h 50m,10 Feb 22,5319
493,SpiceJet,19:20,09:10+1D,Ahmedabad,Jaipur,1 Stop,13h 50m,10 Feb 22,5241
5906,Vistara,12:40,21:15,Guwahati,Mumbai,1 Stop,8h 35m,10 Feb 22,10969
520,Air India,16:20,19:10,Patna,Bangalore,Non Stop,2h 50m,"Sat, 26 Feb","3,669"
216,IndiGo,07:50,13:50,Bangalore,Jaipur,1 Stop,6h 00m,"Mon, 21 Feb","3,294"
3067,Vistara,17:10,18:15+1D,Delhi,Bengaluru,1 Stop,25h 05m,10 Feb 22,12148
4649,Air India,08:30,09:55,Chennai,Hyderabad,Non Stop,1h 25m,10 Feb 22,4044
87,Indigo,21:50,23:00,Mumbai,Goa,Non-Stop,01h 10m,29 Jan,1923
6996,Air India,19:35,18:00+1D,Jaipur,Mumbai,2 Stops,22h 25m,10 Feb 22,4035
8673,Vistara,15:25,16:55+1D,Lucknow,Kolkata,2 Stops,25h 30m,10 Feb 22,15535
4397,Air India,06:05,06:25+1D,Chennai,Goa In,2 Stops,24h 20m,10 Feb 22,5867
1030,Vistara,08:30,07:50+1D,Bengaluru,Ahmedabad,2 Stops,23h 20m,10 Feb 22,15467
1895,Air India,09:00,14:30+1D,Bengaluru,Kolkata,3 Stops,29h 30m,10 Feb 22,7710
9874,Vistara,19:45,12:05+1D,Mumbai,Guwahati,1 Stop,16h 20m,10 Feb 22,11883
8979,Air India,16:00,21:30,Mumbai,Ahmedabad,1 Stop,5h 30m,10 Feb 22,4237
8205,Air India,13:00,06:35+1D,Kolkata,Pune,3 Stops,17h 35m,10 Feb 22,7323
5083,Vistara,12:30,10:05+1D,Chennai,Patna,2 Stops,21h 35m,10 Feb 22,14668
325,Vistara,17:40,"09:30
+ 1 day",Hyderabad,Lucknow,1 Stop,15h 50m,"Thu, 3 Mar","6,270"
119,IndiGo,06:55,19:00,Mumbai,Chandigarh,1 Stop,12h 05m,"Wed, 2 Mar","3,300"
434,Go First,06:15,07:30,Kolkata,Guwahati,Non Stop,1h 15m,"Wed, 16 Feb","2,294"
2161,Vistara,11:30,22:50,Bengaluru,Mumbai,1 Stop,11h 20m,10 Feb 22,11203
6833,Air India,13:30,21:35+1D,Jaipur,Hyderabad,2 Stops,32h 05m,10 Feb 22,6030
54,Indigo,20:00,03:00,Delhi,Goa,1-Stop,07h 00m,15 Jan,3562
3276,Air India,18:00,14:45+1D,Delhi,Goa In,1 Stop,20h 45m,10 Feb 22,3986
8635,Air India,20:15,23:40+1D,Lucknow,Kolkata,3 Stops,27h 25m,10 Feb 22,6482
59,Indigo,11:00,17:25,Delhi,Goa,1-Stop,06h 25m,02 Jan,3562
8527,Air India,08:55,17:00+1D,Lucknow,Goa In,3 Stops,32h 05m,10 Feb 22,6745
818,Vistara,08:25,10:05+1D,Ahmedabad,Patna,1 Stop,25h 40m,10 Feb 22,8408
5868,Air India,16:30,18:00+1D,Guwahati,Mumbai,3 Stops,25h 30m,10 Feb 22,6566
2797,Air India,14:05,13:35+1D,Bhubaneswar,Mumbai,2 Stops,47h 30m,10 Feb 22,7165
3178,IndiGo,14:40,21:05,Delhi,Chennai,1 Stop,6h 25m,10 Feb 22,8442
261,SpiceJet,05:45,07:10,Bangalore,Goa,Non Stop,1h 25m,"Sat, 5 Feb","2,598"
8526,Air India,08:55,17:00+1D,Lucknow,Goa In,3 Stops,32h 05m,10 Feb 22,6745
5806,SpiceJet,08:30,00:45+1D,Guwahati,Mumbai,1 Stop,16h 15m,10 Feb 22,4087
9704,Vistara,11:55,21:20,Mumbai,Goa In,1 Stop,9h 25m,10 Feb 22,12976
9225,Air India,19:00,22:15+1D,Mumbai,Bengaluru,2 Stops,27h 15m,10 Feb 22,5798
2082,Air India,07:55,21:35+1D,Bengaluru,Mumbai,3 Stops,37h 40m,10 Feb 22,8062
5401,Air India,07:05,18:10+1D,Goa In,Pune,2 Stops,35h 05m,10 Feb 22,6046
9638,Air India,07:05,00:35+1D,Mumbai,Goa In,2 Stops,17h 30m,10 Feb 22,6085
9469,Vistara,19:45,09:05+1D,Mumbai,Bhubaneswar,1 Stop,13h 20m,10 Feb 22,11127
4379,Air India,06:20,20:30,Chennai,Goa In,1 Stop,14h 10m,10 Feb 22,4873
5124,Air India,23:00,18:30+1D,Goa In,Bengaluru,1 Stop,19h 30m,10 Feb 22,3856
2069,Air India,07:35,21:35+1D,Bengaluru,Mumbai,3 Stops,38h 00m,10 Feb 22,6179
9318,Vistara,08:45,18:50,Mumbai,Bengaluru,1 Stop,10h 05m,10 Feb 22,11841
3296,Air India,17:20,20:30+1D,Delhi,Goa In,1 Stop,27h 10m,10 Feb 22,5006
16,Go First,17:00,23:25,New Delhi,Goa,1 Stop,6h 25m,"Fri, 4 Feb","3,894"
79,SpiceJet,18:55,09:40,Delhi,Bangalore,1-Stop,14h 45m,30 Jan,3645
218,IndiGo,06:35,17:05,Bangalore,Jaipur,1 Stop,10h 30m,"Wed, 16 Feb","3,294"
